label,score,col,row,width,height,lon,lat,diameter
crater,0.96,1048,803,2,2,28.3753662109,-85.1676559448,1
crater,0.95,460,940,2,2,28.1423587799,-85.1710357666,1
crater,0.97,464,940,2,2,28.1439228058,-85.171043396,1
crater,0.96,950,454,2,2,28.3448486328,-85.1559829712,1
crater,0.96,1175,772,2,2,28.4256801605,-85.1668701172,1
crater,0.95,833,815,2,2,28.2910690308,-85.1676483154,1
crater,0.95,248,856,2,2,28.061504364,-85.1678390503,1
crater,0.97,461,938,2,2,28.1427974701,-85.1709671021,1
crater,0.97,463,938,2,2,28.143579483,-85.1709747314,1
crater,0.97,949,452,2,2,28.3445014954,-85.1559143066,1
crater,0.95,634,716,2,2,28.2155990601,-85.1640014648,1
crater,0.95,505,784,2,2,28.1636295319,-85.1659851074,1
crater,0.97,1111,266,2,2,28.4117221832,-85.1500930786,1
crater,0.96,1116,266,2,2,28.4136695862,-85.150100708,1
crater,0.96,180,338,2,2,28.0475349426,-85.1506500244,1
crater,0.96,183,338,2,2,28.0487041473,-85.1506576538,1
crater,0.99,73,884,2,2,27.9924411774,-85.1684036255,1
crater,0.96,288,895,2,2,28.0761928558,-85.1692047119,1
crater,0.97,469,936,2,2,28.1459732056,-85.1709213257,1
crater,0.95,821,38,2,2,28.3039245605,-85.1420440674,1
crater,0.96,6,1,2,2,27.9880981445,-85.1391983032,1
crater,0.97,1413,807,2,2,28.5179595947,-85.1684494019,1
crater,0.96,1321,851,2,2,28.4810523987,-85.1697387695,1
crater,0.98,1399,874,2,2,28.5110683441,-85.1706314087,1
crater,0.96,1427,899,2,2,28.5214920044,-85.1715087891,1
crater,0.99,1296,901,2,2,28.4702033997,-85.1713409424,1
crater,0.98,1292,914,2,2,28.4683589935,-85.1717605591,1
crater,0.97,1409,914,2,2,28.5141334534,-85.1719665527,1
crater,0.97,1366,930,2,2,28.496969223,-85.172416687,1
crater,0.95,1278,967,2,2,28.4617404938,-85.1734771729,1
crater,0.97,1349,969,2,2,28.489484787,-85.1736755371,1
crater,0.98,1222,1007,2,2,28.4389591217,-85.174697876,1
crater,0.95,1411,1035,2,2,28.5123519897,-85.1759567261,1
crater,0.98,1389,1048,2,2,28.5034618378,-85.1763458252,1
crater,0.96,1345,1079,2,2,28.4855690002,-85.1772842407,1
crater,0.98,1096,813,2,2,28.393907547,-85.1680755615,1
crater,0.98,942,828,2,2,28.3333778381,-85.1682815552,1
crater,0.98,1085,857,2,2,28.3886394501,-85.1695022583,1
crater,0.98,1115,872,2,2,28.4000396729,-85.1700515747,1
crater,0.95,768,888,2,2,28.263999939,-85.169921875,1
crater,0.97,682,906,2,2,28.2299594879,-85.1703491211,1
crater,0.98,630,933,2,2,28.2089996338,-85.1711349487,1
crater,0.98,712,954,2,2,28.2405853271,-85.1719894409,1
crater,0.96,697,961,2,2,28.2345561981,-85.1721878052,1
crater,0.96,1146,961,2,2,28.4102172852,-85.1730422974,1
crater,0.97,1003,981,2,2,28.3538188934,-85.1734313965,1
crater,0.95,655,1009,2,2,28.2170143127,-85.1736907959,1
crater,0.96,853,1011,2,2,28.2944469452,-85.1741409302,1
crater,0.98,743,1022,2,2,28.2511501312,-85.1742858887,1
crater,0.95,795,1030,2,2,28.2713165283,-85.1746520996,1
crater,0.99,856,1031,2,2,28.295167923,-85.1748046875,1
crater,0.96,885,1055,2,2,28.3059768677,-85.1756439209,1
crater,0.98,864,1061,2,2,28.297618866,-85.1758041382,1
crater,0.96,1120,1085,2,2,28.3973197937,-85.1770782471,1
crater,0.97,317,846,2,2,28.0887069702,-85.1676483154,1
crater,0.96,542,880,2,2,28.1758327484,-85.1692199707,1
crater,0.98,467,934,2,2,28.1452388763,-85.1708526611,1
crater,0.95,576,949,2,2,28.1875095367,-85.1715621948,1
crater,0.99,466,998,2,2,28.1433315277,-85.1729507446,1
crater,0.96,287,1029,2,2,28.0725650787,-85.173614502,1
crater,0.96,395,1036,2,2,28.1146507263,-85.1740646362,1
crater,0.97,349,1044,2,2,28.0964603424,-85.1742324829,1
crater,0.97,402,1046,2,2,28.117149353,-85.174407959,1
crater,0.99,435,1066,2,2,28.1295871735,-85.1751327515,1
crater,0.97,356,1083,2,2,28.0982627869,-85.17552948,1
crater,0.97,1324,403,2,2,28.4917736053,-85.1549911499,1
crater,0.98,1222,410,2,2,28.4518566132,-85.1550369263,1
crater,0.97,1279,473,2,2,28.4727325439,-85.1572113037,1
crater,0.96,1418,533,2,2,28.5256900787,-85.1594390869,1
crater,0.96,1239,555,2,2,28.455368042,-85.1598434448,1
crater,0.95,1385,556,2,2,28.5123252869,-85.1601409912,1
crater,0.96,1231,558,2,2,28.4521808624,-85.1599273682,1
crater,0.97,1257,574,2,2,28.4619846344,-85.1604995728,1
crater,0.98,1341,591,2,2,28.4944095612,-85.1612091064,1
crater,0.97,1329,593,2,2,28.4896831512,-85.1612548828,1
crater,0.96,1375,603,2,2,28.5074291229,-85.1616668701,1
crater,0.97,1338,610,2,2,28.4928340912,-85.1618347168,1
crater,0.98,1370,635,2,2,28.5047988892,-85.1627120972,1
crater,0.99,1379,642,2,2,28.5081653595,-85.1629562378,1
crater,0.98,1226,651,2,2,28.4482250214,-85.162979126,1
crater,0.96,1309,670,2,2,28.4802303314,-85.1637573242,1
crater,0.98,1253,705,2,2,28.4576072693,-85.1648101807,1
crater,0.96,1397,706,2,2,28.513841629,-85.1651000977,1
crater,0.96,1397,733,2,2,28.5132713318,-85.1659851074,1
crater,0.98,1307,766,2,2,28.4773979187,-85.1669158936,1
crater,0.98,1177,410,2,2,28.4343147278,-85.1549530029,1
crater,0.95,1067,437,2,2,28.3908405304,-85.1556396484,1
crater,0.95,955,451,2,2,28.3468647003,-85.1558914185,1
crater,0.96,856,471,2,2,28.3078174591,-85.1563644409,1
crater,0.96,1019,475,2,2,28.3712882996,-85.1568069458,1
crater,0.97,875,554,2,2,28.3133602142,-85.1591339111,1
crater,0.97,698,564,2,2,28.2440814972,-85.1591262817,1
crater,0.96,621,606,2,2,28.2130718231,-85.1603546143,1
crater,0.96,787,647,2,2,28.2769165039,-85.1620254517,1
crater,0.95,634,696,2,2,28.2160625458,-85.1633453369,1
crater,0.98,700,719,2,2,28.2413024902,-85.1642303467,1
crater,0.95,1000,721,2,2,28.3584270477,-85.1648635864,1
crater,0.97,1157,727,2,2,28.419626236,-85.1653594971,1
crater,0.99,634,773,2,2,28.2142772675,-85.1658782959,1
crater,0.99,642,776,2,2,28.21733284,-85.1659927368,1
crater,0.96,484,408,2,2,28.164270401,-85.1535720825,1
crater,0.98,471,478,2,2,28.1575603485,-85.1558456421,1
crater,0.97,576,478,2,2,28.1984920502,-85.1560516357,1
crater,0.95,521,617,2,2,28.1737957001,-85.1605224609,1
crater,0.99,395,629,2,2,28.1243495941,-85.1606674194,1
crater,0.96,397,646,2,2,28.1247272491,-85.1612319946,1
crater,0.97,485,646,2,2,28.1590671539,-85.1614074707,1
crater,0.98,450,652,2,2,28.1452674866,-85.161529541,1
crater,0.98,399,660,2,2,28.1251735687,-85.1616973877,1
crater,0.99,465,665,2,2,28.1508140564,-85.1619873047,1
crater,0.96,370,698,2,2,28.1129493713,-85.1628875732,1
crater,0.96,392,699,2,2,28.121515274,-85.1629638672,1
crater,0.98,448,722,2,2,28.1428318024,-85.1638336182,1
crater,0.98,551,765,2,2,28.1820430756,-85.1654510498,1
crater,0.97,449,793,2,2,28.1415424347,-85.1661758423,1
crater,0.96,1285,17,2,2,28.4847888947,-85.1422119141,1
crater,0.99,1406,27,2,2,28.5316314697,-85.1427536011,1
crater,0.96,1406,41,2,2,28.531337738,-85.1432189941,1
crater,0.99,1240,55,2,2,28.4664783478,-85.1433792114,1
crater,0.98,1368,94,2,2,28.5154438019,-85.1448974609,1
crater,0.95,1394,146,2,2,28.5244674683,-85.1466522217,1
crater,0.96,1397,176,2,2,28.5250072479,-85.147644043,1
crater,0.99,1380,206,2,2,28.5177574158,-85.1486053467,1
crater,0.95,1375,236,2,2,28.5151786804,-85.1495819092,1
crater,0.96,1343,291,2,2,28.5015525818,-85.1513366699,1
crater,0.99,1342,294,2,2,28.5011005402,-85.1514358521,1
crater,0.95,1388,313,2,2,28.5186214447,-85.1521377563,1
crater,0.96,1265,355,2,2,28.4697990417,-85.1533050537,1
crater,0.95,1059,2,2,2,28.3972434998,-85.1413040161,1
